length      	8   	16  	32  	48  	64  	96  	128 	192 	256 	
RZ14_w2_simd3	196.06	114.87	60.09	45.37	42.92	31.78	27.51	21.39	17.78	
RZ14_w3_byte	168.31	98.49	53.36	39.51	38.45	27.63	23.88	18.75	16.14	
RZ14_w3_simd2	216.28	115.37	59.49	42.58	40.32	29.71	24.79	19.17	15.75	
RZ14_w4_simd2	220.00	118.84	59.41	43.72	39.58	29.13	24.65	19.91	16.02	
RZ14_w4_simd3	218.35	117.88	60.35	44.68	40.08	30.23	24.99	20.74	16.72	
test_algo_14	209.89	113.72	57.65	41.92	41.30	28.76	25.56	19.11	15.46	
